wochentag,isferienzh,ferien_desc_zh,isferiensg,ferien_desc_sg,isferiengr,ferien_desc_gr,feiertag_desc,isfeiertag_zh,isfeiertag_sg,isfeiertag_gr,t_2m_c_avg,snow_depth_cm_avg,visibility_m_avg,wind_speed_10m_ms_max,prob_precip_1h_p_avg,prob_tstorm_1h_p_avg,hail_idx_avg,wind_gusts_10m_ms_max,wind_speed_mean_10m_24h_ms_avg,t_max_2m_24h_c_max,t_min_2m_24h_c_min,precip_24h_mm_max,fresh_snow_24h_cm_max,is_sleet_1h_idx_max,is_fog_1h_idx_max,precip_1h_mm_sum,fresh_snow_1h_cm_sum,wind_speed_mean_10m_1h_ms_avg,weather_symbol_1h_idx_spe,number_of_events,schalter,day_count,sin_weekday,cos_weekday,sin_yearday,cos_yearday
1,1,3,1,1,0,0,0,0,0,0,-5.425,110.975,23309.25,5.775,5.075,1,0,15.5,5.3,4.3,-9.7,3.79,4.5,0,0,0.47,0.5,30.6,0,0,36,232,0.7818314824680297,0.6234898018587336,-0.7526668275320083,-0.658401584698049
2,1,3,1,1,0,0,0,0,0,0,1.45,100.7,30018.25,3.125,1.5,1,0,13,2,3.7,-5.6,0,0,0,0,0.23,0,18.1,0,0,47,233,0.9749279121818236,-0.22252093395631434,-0.7638886127905429,-0.64534811322955
3,1,3,1,1,0,0,0,0,0,0,-0.075,103.65,30003,1.775,1,1,0,2.2,1.9,2.5,-8.3,0,0,0,0,0,0,6.1,0,0,43,234,0.43388373911755823,-0.900968867902419,-0.7748840413670406,-0.6321034111873489
4,0,0,1,1,0,0,0,0,0,0,-1.9,106.85,30022.5,2.675,1,1,0,6.7,2.8,4.3,-7.2,1.95,3.4,0,0,0,0,9.7,0.8,0,36,235,-0.433883739117558,-0.9009688679024191,-0.7856498550787144,-0.6186714032625034
5,0,0,1,1,0,0,0,0,0,0,-1.15,104.05,29996.5,2.225,5.2,1,0,6.3,3,5.4,-12.1,0,0,0,0,0.32,0.5,10.3,0,0,40,236,-0.9749279121818235,-0.2225209339563146,-0.7961828637826154,-0.6050560696488494
6,0,0,1,1,0,0,0,0,0,0,-3.15,100.35,29991.75,3.2,1,1,0,3.2,3,2.6,-13.4,0,0,0,0,0,0,11.1,2.9,0,45,237,-0.7818314824680299,0.6234898018587334,-0.8064799463209447,-0.5912614448635783
7,0,0,1,1,0,0,0,0,0,0,-6.475,98.4,30022,2.55,1,1,0,3.5,3,-3,-13.5,0,0,0,0,0,0,9.6,1.8,0,44,238,-2.4492935982947064e-16,1,-0.8165380514459157,-0.5772916165517278
1,0,0,1,1,0,0,0,0,0,0,-7.45,99.95,29974.25,2.4,1,1,0,10.7,10.8,-1.6,-10.7,5.47,4,0,0,0,0,14.8,3.2,0,30,239,0.7818314824680297,0.6234898018587336,-0.8263541987239094,-0.5631507242749189
2,0,0,0,4,0,0,0,0,0,0,-4.075,112.075,10032.75,10.55,4.675,1,0,16.9,2.9,1.6,-2.9,6.36,7.5,0,0,0.72,0.3,44.6,0,0,33,240,0.9749279121818236,-0.22252093395631434,-0.8359254794186365,-0.5488429582847199
3,0,0,0,4,0,0,0,0,0,0,0.275,134.025,30032.25,1.75,3.925,1,0,7.7,5.6,1.6,-3.8,17.57,18.6,0,0,0.39,0.4,12.6,0,0,30,241,0.43388373911755823,-0.900968867902419,-0.8452490573530633,-0.5343725582809785
4,0,0,0,4,0,0,0,0,0,0,-0.65,100.375,30024.5,2.525,14.875,1,0,14.5,4.7,-1.3,-15.7,0,0,0,0,1.65,1.7,21.3,0,0,26,242,-0.433883739117558,-0.9009688679024191,-0.8543221697498269,-0.5197438121555157
5,0,0,0,4,0,0,0,0,0,0,-8.225,99.45,30022.5,2.325,1,1,0,8.4,3.9,-2.4,-15.1,0.01,0,0,0,0,0,13.5,0.9,0,46,243,-0.9749279121818235,-0.2225209339563146,-0.8631421280499115,-0.5049610547215202
6,0,0,0,4,0,0,0,0,0,0,-5.925,100,29982.5,2.55,1,1,0,13.5,3.9,-4.3,-11.5,0,0,0,0,0,0,19.1,0,0,30,244,-0.7818314824680299,0.6234898018587334,-0.8717063187093217,-0.49002866642905946
